filepath,filename,actor_id,emotion,emotion_code,intensity_code,statement_code,repetition_code,sample_rate,duration,pitch_mean,pitch_std,speech_energy,energy_variance,zero_crossing_rate,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_variance,mfcc_2_variance,mfcc_3_variance,mfcc_4_variance,mfcc_5_variance,mfcc_6_variance,mfcc_7_variance,mfcc_8_variance,mfcc_9_variance,mfcc_10_variance,mfcc_11_variance,mfcc_12_variance,mfcc_13_variance
audio data\Audios\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,1,Neutral,1,1,1,1,48000,3.3032916666666665,55.42036824137051,5.528856685920857,0.0021197072,1.1495588e-05,0.0504756804435483,-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204,24916.883,7092.8984,415.88486,444.57703,185.90527,367.2223,197.78714,74.29581,120.97767,69.699615,165.0021,59.42673,74.84732
audio data\Audios\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,1,Neutral,1,1,1,2,48000,3.3366666666666664,56.22468255617788,5.887991241274817,0.0022580326,1.3237311e-05,0.0529044154353035,-719.1283,70.20157,1.168397,13.122541,7.83695,14.41129,-4.1113596,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770775,3.031821,25394.338,6179.976,531.9182,360.87836,154.97824,369.3437,210.73857,64.92056,132.4667,66.442154,158.52403,52.870583,67.277466
audio data\Audios\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,1,Neutral,1,1,2,1,48000,3.2699166666666666,54.875272313133664,5.377092649294524,0.0027071815,1.8476723e-05,0.0466268831433224,-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622657,1.8734846,26528.018,7360.955,323.2555,602.2983,104.1136,259.69778,239.38681,97.540436,143.83769,67.779045,172.81978,60.04959,73.35039
audio data\Audios\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,1,Neutral,1,1,2,2,48000,3.169833333333333,54.51871398688623,4.566502768295623,0.0025207684,1.7453813e-05,0.0538354656040268,-710.9753,67.56488,5.7822413,13.230726,6.1908455,12.628252,-1.6751693,5.6574936,-4.9506335,-3.4775455,-7.416558,-1.9370041,2.2715254,26171.42,6177.0107,411.25827,601.6371,127.2395,279.03555,172.69672,75.44926,145.92166,92.69673,147.49132,52.1514,57.620617
audio data\Audios\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,1,Calm,2,1,1,1,48000,3.536854166666666,56.93852449703525,7.078704390858154,0.0015786955,6.2366416e-06,0.0459293227597891,-759.92175,75.78352,6.0236053,14.557394,6.4541874,14.631508,-3.004551,4.6209702,-5.200016,-0.70743024,-7.790287,-3.5649483,2.1809702,26564.627,6172.6597,536.46063,561.8535,187.0439,360.64136,205.28113,90.536545,136.2861,60.6369,129.56625,61.94717,87.7006
audio data\Audios\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,1,Calm,2,1,1,2,48000,3.603583333333333,53.71997195743538,5.912986819312211,0.0016762057,6.701257e-06,0.0330384384245562,-735.0066,79.09305,8.141051,11.413549,5.174124,15.393285,-2.7520719,2.9645836,-5.388972,-1.6918322,-5.8528347,-4.0432878,3.0046408,21484.252,6719.7515,550.2604,612.9968,152.89877,391.7167,158.0462,58.03458,142.5938,42.82066,94.94984,67.208115,84.83808
audio data\Audios\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,1,Calm,2,1,2,1,48000,3.5035,52.6836181594288,3.718766699193721,0.0025555012,1.1881531e-05,0.0459503823138297,-733.5249,81.58986,4.8633575,14.423686,5.267689,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674487,-6.2504735,-3.8666399,3.3255188,32071.94,8018.418,514.10925,692.2966,164.07642,333.81763,230.73224,105.93705,129.04068,70.142105,159.52913,70.125084,108.2614
audio data\Audios\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,1,Calm,2,1,2,2,48000,3.470145833333333,51.89646624039064,2.599035932531552,0.0026076469,1.3536974e-05,0.0476433689608895,-728.363,82.324936,7.5005765,12.542465,6.788125,14.805659,-2.9095807,6.937839,-4.84434,-1.8469232,-5.6877103,-3.6666536,2.2403512,30629.209,7856.782,406.66742,593.2632,111.298386,292.63458,175.19098,83.39447,139.97704,65.76283,128.66089,68.09796,86.60074
audio data\Audios\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,1,Calm,2,2,1,1,48000,3.703708333333333,52.03603900237026,3.098774355512324,0.0014528487,3.7017362e-06,0.0362422548491379,-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.8468976,4.47025,-5.536262,0.8787948,-5.3482485,-3.0295565,2.3405733,31373.336,6576.003,463.44208,605.5719,161.4174,397.01123,195.87415,76.25247,140.55098,42.26404,87.49935,65.91404,82.49691
audio data\Audios\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,1,Calm,2,2,1,2,48000,4.004,53.557311668452456,4.261847841411305,0.0015512242,4.5581287e-06,0.0448829163896276,-733.9896,82.99157,3.796794,13.411559,3.1084962,16.039553,-5.652945,5.5606713,-7.8409877,-1.1772103,-5.7287865,-4.109694,3.8823817,24948.818,6459.065,582.2453,605.8003,152.71371,392.0966,225.25188,108.5148,177.8039,46.130257,87.603226,83.774734,96.481926
