filename,actual_emotion,predicted_emotion,predicted_stress,angry_probability,disgust_probability,fear_probability,happy_probability,sad_probability,surprise_probability,neutral_probability,confidence
0.png,Angry,Sad,Mild_Stress,0.20687506,0.06446048,0.12045038,0.000882464,0.38168615,0.002937265,0.22270824,0.38168615
1.png,Angry,Fear,Moderate_Stress,0.22087698,0.02737052,0.29845297,0.011303591,0.15828633,0.19916691,0.084542684,0.29845297
10.png,Angry,Disgust,Moderate_Stress,0.28950173,0.6231809,0.04042309,0.0073308726,0.029633064,0.00043833267,0.009492057,0.6231809
10002.png,Angry,Angry,Severe_Stress,0.5063831,0.19253683,0.07624081,0.0035734635,0.112987615,0.006652904,0.101625204,0.5063831
10016.png,Angry,Angry,Severe_Stress,0.35961697,0.16924283,0.22493532,0.07995512,0.087239996,0.05525498,0.023754764,0.35961697
10037.png,Angry,Neutral,Healthy,0.1417787,0.015898889,0.11197728,0.02851161,0.20303617,0.06333794,0.4354595,0.4354595
10038.png,Angry,Angry,Severe_Stress,0.5501535,0.24134335,0.07554509,0.0342151,0.03523631,0.0043524704,0.059154175,0.5501535
10052.png,Angry,Neutral,Healthy,0.1547081,0.055659626,0.031171374,0.17276926,0.1939993,0.0025710645,0.3891212,0.3891212
10057.png,Angry,Angry,Severe_Stress,0.25170597,0.018724555,0.19217569,0.17247662,0.20974614,0.06303861,0.09213243,0.25170597
10063.png,Angry,Angry,Severe_Stress,0.7885711,0.05106214,0.09923739,0.0015339209,0.031081209,0.022068521,0.006445742,0.7885711
10065.png,Angry,Fear,Moderate_Stress,0.06978208,0.07567161,0.49495342,0.0008111879,0.32474947,0.01049996,0.023532338,0.49495342
10069.png,Angry,Angry,Severe_Stress,0.4084292,0.07966401,0.17156267,0.0071360837,0.28123614,0.004988412,0.046983458,0.4084292
10079.png,Angry,Disgust,Moderate_Stress,0.20419955,0.56580204,0.1177228,0.0007053123,0.093323484,0.0010508762,0.017195977,0.56580204
10095.png,Angry,Angry,Severe_Stress,0.46980122,0.17510796,0.11322077,0.008140088,0.14758828,0.011960637,0.07418108,0.46980122
10100.png,Angry,Fear,Moderate_Stress,0.16219306,0.16084747,0.29553393,0.0060325894,0.28189293,0.008071321,0.08542871,0.29553393
10105.png,Angry,Neutral,Healthy,0.26369756,0.049092997,0.07077841,0.10142404,0.13255763,0.04270803,0.33974135,0.33974135
10115.png,Angry,Angry,Severe_Stress,0.48580638,0.094839,0.24775591,0.008997053,0.117979996,0.018849524,0.02577204,0.48580638
10121.png,Angry,Angry,Severe_Stress,0.48587197,0.15507463,0.2272153,0.0028478946,0.11214991,0.008037591,0.008802604,0.48587197
10122.png,Angry,Disgust,Moderate_Stress,0.28585804,0.35653195,0.18066706,0.0015649048,0.11456327,0.009830928,0.050983787,0.35653195
10142.png,Angry,Angry,Severe_Stress,0.4430032,0.074807994,0.16477127,0.059601214,0.10035001,0.07784402,0.079622306,0.4430032
10148.png,Angry,Angry,Severe_Stress,0.50655675,0.104776196,0.08836955,0.01134056,0.18220036,0.0020503537,0.104706205,0.50655675
1015.png,Angry,Fear,Moderate_Stress,0.17289068,0.08381053,0.39783254,0.013755173,0.23472069,0.0682621,0.02872827,0.39783254
10154.png,Angry,Angry,Severe_Stress,0.55514234,0.29403502,0.09872647,0.0052307993,0.03120803,0.009579429,0.006077998,0.55514234
10155.png,Angry,Disgust,Moderate_Stress,0.3650284,0.57684445,0.044282094,0.0036207817,0.008526668,0.0010305655,0.0006669338,0.57684445
10158.png,Angry,Fear,Moderate_Stress,0.1604458,0.05018915,0.28868824,0.008540519,0.18288238,0.18166369,0.12759018,0.28868824
1016.png,Angry,Angry,Severe_Stress,0.40298524,0.15969643,0.26207703,0.06616995,0.06692465,0.01738162,0.024765054,0.40298524
10163.png,Angry,Angry,Severe_Stress,0.4389347,0.09410044,0.15583159,0.052095503,0.21429569,0.02237666,0.022365466,0.4389347
10167.png,Angry,Neutral,Healthy,0.08669324,0.0037539566,0.076048754,0.038719196,0.19801414,0.010945598,0.58582515,0.58582515
10178.png,Angry,Happy,Healthy,0.21806744,0.118224286,0.1550335,0.35556465,0.08335897,0.053335052,0.016416071,0.35556465
1018.png,Angry,Angry,Severe_Stress,0.5915533,0.066316046,0.061705757,0.0018507807,0.22080135,0.0006440525,0.05712876,0.5915533
10181.png,Angry,Happy,Healthy,0.19031923,0.013374612,0.09353006,0.23518835,0.20644474,0.1050784,0.15606461,0.23518835
10192.png,Angry,Angry,Severe_Stress,0.36823142,0.046720102,0.075595014,0.11499383,0.14038096,0.02340258,0.23067605,0.36823142
